ID,Transfers,Year
1088523,4,2016
1088825,4,2016
1094452,4,2016
1097092,4,2016
1100022,4,2016
1105199,4,2016
1106590,4,2016
1107556,4,2016
1107758,4,2016
1107923,4,2016
1111977,4,2016
1112654,4,2016
1113514,4,2016
1115497,4,2016
1117367,4,2016
1117489,4,2016
1118123,4,2016
1121948,4,2016
1122818,4,2016
1129221,4,2016
1129555,4,2016
1130986,4,2016
1131554,4,2016
1135235,4,2016
1137193,4,2016
1137923,4,2016
1141009,4,2016
1143720,4,2016
98329,3,2016
115104,3,2016
117869,3,2016
118434,3,2016
118889,3,2016
119778,3,2016
122157,3,2016
130553,3,2016
131003,3,2016
131300,3,2016
132050,3,2016
132107,3,2016
134597,3,2016
135192,3,2016
135230,3,2016
135833,3,2016
137641,3,2016
139845,3,2016
140619,3,2016
144867,3,2016
146603,3,2016
148512,3,2016
148874,3,2016
148892,3,2016
149768,3,2016
150949,3,2016
152991,3,2016
156736,3,2016
161217,3,2016
163900,3,2016
167987,3,2016
172373,3,2016
176364,3,2016
178443,3,2016
184141,3,2016
184283,3,2016
188875,3,2016
192134,3,2016
195412,3,2016
195581,3,2016
201809,3,2016
202700,3,2016
203668,3,2016
204862,3,2016
205097,3,2016
205989,3,2016
206276,3,2016
206303,3,2016
208674,3,2016
209853,3,2016
210303,3,2016
212278,3,2016
221200,3,2016
224074,3,2016
225175,3,2016
226675,3,2016
226721,3,2016
226962,3,2016
231947,3,2016
236569,3,2016
240187,3,2016
241317,3,2016
241921,3,2016
247671,3,2016
249445,3,2016
256414,3,2016
257083,3,2016
258329,3,2016
262447,3,2016
270675,3,2016
273584,3,2016
275286,3,2016
275481,3,2016
276676,3,2016
276856,3,2016
279223,3,2016
282131,3,2016
282310,3,2016
282778,3,2016
283381,3,2016
285605,3,2016
286360,3,2016
287888,3,2016
288078,3,2016
288079,3,2016
288139,3,2016
289220,3,2016
289940,3,2016
294211,3,2016
296386,3,2016
298005,3,2016
298413,3,2016
299027,3,2016
300357,3,2016
304163,3,2016
305045,3,2016
311440,3,2016
312340,3,2016
315849,3,2016
318095,3,2016
321003,3,2016
327874,3,2016
332782,3,2016
334710,3,2016
339598,3,2016
342547,3,2016
346225,3,2016
347012,3,2016
347027,3,2016
347723,3,2016
349591,3,2016
352008,3,2016
353486,3,2016
353490,3,2016
356080,3,2016
356250,3,2016
357244,3,2016
357430,3,2016
361218,3,2016
361715,3,2016
364813,3,2016
365634,3,2016
370074,3,2016
371276,3,2016
372525,3,2016
